YEAR,HOSPITAL,Procedure/Condition,Risk Adjuested Mortality Rate,Risk Adjuested Mortality Rate,Hospital Ratings
2023,Adventist Health and Rideout,AMI,7,7,As Expected
2023,Adventist Health and Rideout,Acute Stroke,5.3,5.3,As Expected
2023,Adventist Health and Rideout,Carotid Endarterectomy,3.1,3.1,As Expected
2023,Adventist Health and Rideout,GI Hemorrhage,2.2,2.2,As Expected
2023,Adventist Health and Rideout,Heart Failure,4,4,As Expected
2023,Adventist Health and Rideout,Hip Fracture,0,0,As Expected
2023,Adventist Health and Rideout,PCI,5.1,5.1,As Expected
2023,Adventist Health and Rideout,Pneumonia,6.4,6.4,As Expected
2023,Adventist Health Bakersfield,AMI,6.9,6.9,As Expected
2023,Adventist Health Bakersfield,Acute Stroke,8,8,As Expected
2023,Adventist Health Bakersfield,Carotid Endarterectomy,0,0,As Expected
2023,Adventist Health Bakersfield,GI Hemorrhage,3.6,3.6,As Expected
2023,Adventist Health Bakersfield,Hip Fracture,0.5,0.5,As Expected
2023,Adventist Health Bakersfield,PCI,5,5,As Expected
2023,Adventist Health Bakersfield,Pneumonia,6.3,6.3,As Expected
2023,Adventist Health Bakersfield,Heart Failure,4.4,4.4,Worse
2023,Adventist Health Clearlake,Acute Stroke,0,0,As Expected
2023,Adventist Health Clearlake,GI Hemorrhage,0,0,As Expected
2023,Adventist Health Clearlake,Heart Failure,5.5,5.5,As Expected
2023,Adventist Health Clearlake,Hip Fracture,0,0,As Expected
2023,Adventist Health Clearlake,Pneumonia,4.4,4.4,As Expected
2023,Adventist Health Delano,Acute Stroke,0,0,As Expected
2023,Adventist Health Delano,Heart Failure,2.4,2.4,As Expected
2023,Adventist Health Delano,Pneumonia,9.1,9.1,As Expected
2023,Adventist Health Glendale,AMI,3.8,3.8,As Expected
2023,Adventist Health Glendale,Acute Stroke,6.9,6.9,As Expected
2023,Adventist Health Glendale,Carotid Endarterectomy,0,0,As Expected
2023,Adventist Health Glendale,GI Hemorrhage,1.4,1.4,As Expected
2023,Adventist Health Glendale,Heart Failure,1.6,1.6,As Expected
2023,Adventist Health Glendale,Hip Fracture,2.4,2.4,As Expected
2023,Adventist Health Glendale,Pancreatic Resection,0,0,As Expected
2023,Adventist Health Glendale,PCI,2.2,2.2,Better
2023,Adventist Health Glendale,Pneumonia,4.9,4.9,Better
2023,Adventist Health Hanford,AMI,5.9,5.9,As Expected
2023,Adventist Health Hanford,Acute Stroke,6.7,6.7,As Expected
2023,Adventist Health Hanford,Carotid Endarterectomy,0,0,As Expected
2023,Adventist Health Hanford,GI Hemorrhage,2.8,2.8,As Expected
2023,Adventist Health Hanford,Heart Failure,2.8,2.8,As Expected
2023,Adventist Health Hanford,Hip Fracture,1.3,1.3,As Expected
2023,Adventist Health Hanford,Pneumonia,7.6,7.6,As Expected
2023,Adventist Health Howard Memorial,Acute Stroke,7.8,7.8,As Expected
2023,Adventist Health Howard Memorial,GI Hemorrhage,10,10,As Expected
2023,Adventist Health Howard Memorial,Heart Failure,2.4,2.4,As Expected
2023,Adventist Health Howard Memorial,Hip Fracture,0,0,As Expected
2023,Adventist Health Howard Memorial,Pneumonia,3.8,3.8,As Expected
2023,Adventist Health Lodi Memorial,AMI,7.5,7.5,As Expected
2023,Adventist Health Lodi Memorial,GI Hemorrhage,5,5,As Expected
2023,Adventist Health Lodi Memorial,Hip Fracture,1.2,1.2,As Expected
2023,Adventist Health Lodi Memorial,Pneumonia,4.3,4.3,As Expected
2023,Adventist Health Lodi Memorial,Acute Stroke,3.5,3.5,Better
2023,Adventist Health Lodi Memorial,Heart Failure,1.4,1.4,Better
2023,Adventist Health Mendocino Coast,Acute Stroke,0,0,As Expected
2023,Adventist Health Mendocino Coast,GI Hemorrhage,4.2,4.2,As Expected
2023,Adventist Health Mendocino Coast,Heart Failure,0,0,As Expected
2023,Adventist Health Mendocino Coast,Pneumonia,6.5,6.5,As Expected
2023,Adventist Health Reedley,Acute Stroke,0,0,As Expected
2023,Adventist Health Reedley,Heart Failure,0,0,As Expected
2023,Adventist Health Reedley,Pneumonia,0,0,As Expected
2023,Adventist Health Sierra Vista,Acute Stroke,8.1,8.1,As Expected
2023,Adventist Health Sierra Vista,Carotid Endarterectomy,0,0,As Expected
2023,Adventist Health Sierra Vista,GI Hemorrhage,3.2,3.2,As Expected
2023,Adventist Health Sierra Vista,Heart Failure,2,2,As Expected
2023,Adventist Health Sierra Vista,Hip Fracture,1.4,1.4,As Expected
2023,Adventist Health Sierra Vista,Pancreatic Resection,0,0,As Expected
2023,Adventist Health Sierra Vista,Pneumonia,6.5,6.5,As Expected
2023,Adventist Health Simi Valley,AMI,4.8,4.8,As Expected
2023,Adventist Health Simi Valley,Acute Stroke,5.9,5.9,As Expected
2023,Adventist Health Simi Valley,GI Hemorrhage,2.9,2.9,As Expected
2023,Adventist Health Simi Valley,Heart Failure,3.9,3.9,As Expected
2023,Adventist Health Simi Valley,Hip Fracture,1,1,As Expected
2023,Adventist Health Simi Valley,PCI,4.5,4.5,As Expected
2023,Adventist Health Simi Valley,Pneumonia,3.8,3.8,Better
2023,Adventist Health Sonora – Greenley,AMI,4.7,4.7,As Expected
2023,Adventist Health Sonora – Greenley,Acute Stroke,11.2,11.2,As Expected
2023,Adventist Health Sonora – Greenley,GI Hemorrhage,3.7,3.7,As Expected
2023,Adventist Health Sonora – Greenley,Heart Failure,0.5,0.5,As Expected
2023,Adventist Health Sonora – Greenley,Hip Fracture,3.3,3.3,As Expected
2023,Adventist Health Sonora – Greenley,Pneumonia,2.8,2.8,Better
2023,Adventist Health St. Helena,AMI,3.6,3.6,As Expected
2023,Adventist Health St. Helena,Acute Stroke,7.9,7.9,As Expected
2023,Adventist Health St. Helena,Carotid Endarterectomy,0,0,As Expected
2023,Adventist Health St. Helena,GI Hemorrhage,4,4,As Expected
2023,Adventist Health St. Helena,Heart Failure,2.7,2.7,As Expected
2023,Adventist Health St. Helena,Hip Fracture,1.7,1.7,As Expected
2023,Adventist Health St. Helena,PCI,4,4,As Expected
2023,Adventist Health St. Helena,Pneumonia,6.4,6.4,As Expected
2023,Adventist Health Tehachapi Valley,Acute Stroke,0,0,As Expected
2023,Adventist Health Tehachapi Valley,GI Hemorrhage,2.3,2.3,As Expected
2023,Adventist Health Tehachapi Valley,Heart Failure,1.8,1.8,As Expected
2023,Adventist Health Tehachapi Valley,Hip Fracture,14.2,14.2,As Expected
2023,Adventist Health Tehachapi Valley,Pneumonia,3.4,3.4,As Expected
2023,Adventist Health Tulare,Acute Stroke,3.8,3.8,As Expected
2023,Adventist Health Tulare,Heart Failure,3.5,3.5,As Expected
2023,Adventist Health Tulare,Hip Fracture,7.8,7.8,As Expected
2023,Adventist Health Tulare,Pneumonia,5.7,5.7,As Expected
2023,Adventist Health Twin Cities,AMI,18.3,18.3,As Expected
2023,Adventist Health Twin Cities,Acute Stroke,11,11,As Expected
2023,Adventist Health Twin Cities,GI Hemorrhage,3.3,3.3,As Expected
2023,Adventist Health Twin Cities,Heart Failure,2.5,2.5,As Expected
2023,Adventist Health Twin Cities,Hip Fracture,2.2,2.2,As Expected
2023,Adventist Health Twin Cities,Pneumonia,8.4,8.4,As Expected
2023,Adventist Health Ukiah Valley,AMI,0,0,As Expected
2023,Adventist Health Ukiah Valley,Acute Stroke,4.9,4.9,As Expected
2023,Adventist Health Ukiah Valley,GI Hemorrhage,2.2,2.2,As Expected
2023,Adventist Health Ukiah Valley,Heart Failure,2.4,2.4,As Expected
2023,Adventist Health Ukiah Valley,Hip Fracture,3,3,As Expected
2023,Adventist Health Ukiah Valley,Pneumonia,8.4,8.4,As Expected
2023,Adventist Health White Memorial,AMI,6.8,6.8,As Expected
2023,Adventist Health White Memorial,Acute Stroke,5.9,5.9,As Expected
2023,Adventist Health White Memorial,Carotid Endarterectomy,7.9,7.9,As Expected
2023,Adventist Health White Memorial,GI Hemorrhage,4.2,4.2,As Expected
2023,Adventist Health White Memorial,Heart Failure,2.3,2.3,As Expected
2023,Adventist Health White Memorial,Hip Fracture,0,0,As Expected
2023,Adventist Health White Memorial,PCI,4.7,4.7,As Expected
2023,Adventist Health White Memorial,Pneumonia,9.1,9.1,Worse
2023,Adventist Health White Memorial Montebello,AMI,9,9,As Expected
2023,Adventist Health White Memorial Montebello,Acute Stroke,9.3,9.3,As Expected
2023,Adventist Health White Memorial Montebello,GI Hemorrhage,1.9,1.9,As Expected
2023,Adventist Health White Memorial Montebello,Heart Failure,3.9,3.9,As Expected
2023,Adventist Health White Memorial Montebello,Hip Fracture,7,7,As Expected
2023,Adventist Health White Memorial Montebello,PCI,4.2,4.2,As Expected
2023,Adventist Health White Memorial Montebello,Pneumonia,5.4,5.4,As Expected
2023,AHMC Anaheim Regional Medical Center,AMI,3.5,3.5,As Expected
2023,AHMC Anaheim Regional Medical Center,Acute Stroke,6.6,6.6,As Expected
2023,AHMC Anaheim Regional Medical Center,Carotid Endarterectomy,0,0,As Expected
2023,AHMC Anaheim Regional Medical Center,GI Hemorrhage,1.8,1.8,As Expected
2023,AHMC Anaheim Regional Medical Center,Heart Failure,2.7,2.7,As Expected
2023,AHMC Anaheim Regional Medical Center,Hip Fracture,0,0,As Expected
2023,AHMC Anaheim Regional Medical Center,PCI,2.1,2.1,As Expected
2023,AHMC Anaheim Regional Medical Center,Pneumonia,4.3,4.3,As Expected
2023,AHMC Seton Medical Center,AMI,4.9,4.9,As Expected
2023,AHMC Seton Medical Center,Acute Stroke,6,6,As Expected
2023,AHMC Seton Medical Center,Carotid Endarterectomy,13.9,13.9,As Expected
2023,AHMC Seton Medical Center,Heart Failure,2.6,2.6,As Expected
